id,constant,position,translate,
35,indexStepsText.step2.text|dot,Описание Шага №2,Сразу после регистрации можно пополнить депозит на желаемую сумму.,
36,indexStepsText.step3.title,Шаг №3,Авторизуйтесь в личном кабинете,
37,indexStepsText.step3.text|dot,Описание Шага №3,Последний этап — это авторизация в личном кабинете с получением желаемого доступа к онлайн-трейдингу.,
1.5. Информация об аккаунтах.,,,,
38,indexAccountsText.h2,Главный заголовок раздела,Торговые аккаунты на выбор,
39,indexAccountsText.account1.title,Аккаунт №1,Opti Trade,
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,"Оптимальное решение для трейдеров, которые только знакомятся с рынком онлайн-трейдинга.",
41,indexAccountsText.account2.title,Аккаунт №2,Standard Trade,
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,"Оптимизированные условия исполнения сделок, а также расширенный перечень финансовых инструментов. ",
43,indexAccountsText.account3.title,Аккаунт №3,Maxi Trade,
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,Максимально возможные привилегии для опытных трейдеров и уверенных в себе инвесторов.,
45,indexAccountsText.account_condition_1,Минимальный депозит:,Минимальный депозит,
46,indexAccountsText.account_condition_2,Кредитное плечо:,Кредитное плечо,
47,indexAccountsText.account_condition_3,Моментальное исполнение,Моментальное исполнение,
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Торговля криптовалютами и металлами,
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,Возможность инвестиций в ПАММ-счета,
50,indexAccountsText.account_condition_6,Отсутствие свопа,Отсутствие свопа,
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,Торговля ETF и индексами,
52,indexAccountsText.account_condition_8,Страхование депозитов,Страхование депозитов,
53,indexAccountsText.account_condition_9,Персональный менеджер,Персональный менеджер,
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Открытие личного ПАММ-счета,
53,indexAccountsText.account_condition_11,Защита депозитов,Защита депозитов,
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,Круглосуточная поддержка,
1.6. Новости,,,,
55,indexNewsText.h2,Главный заголовок раздела,Читайте главные экономические новости,
1.7. Футер,,,,
56,footerContent,Футер текст,"Компания Company Name  зарегистрирована по адресу: Northern Shops. Mile 1 Phillip Goldson Highway, Belize City, Belize. Деятельность компании осуществляется в соответствии с требованиями Кипрской комиссии по ценным бумагам и биржам (номер лицензии: 877/09, Комиссии по международным финансовым услугам (IFSC) (54/98/DL/12) и Комиссии по финансовым услугам Республики Маврикия (номер лицензии инвестиционного дилера:  X0098233124).",
2. Рынки и инструменты,,,,
2.2. Обзор рынков,,,,
2.2.1. Посадочный экран,,,,
57,marketsHeaderText.title,Заголовок,Обзор финансовых рынков,
58,marketsHeaderText.text|dot,Подзаголовок,"Встречайте огромное разнообразие финансовых инструментов, относящихся к тем или иным рынкам.",
59,commonMarketsText.title_graph,Заголовок торгового графика,График торгового инструмента,
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Таблица инструментов,
61,commonMarketsText.footnote,Часы работы рынков,* часы открытия и закрытия торгов указаны по UTC+0,
2.2.2. Валюты,,,,
62,marketsListText.market1.title,Заголовок,Валютные пары,
63,marketsListText.market1.text|dot,Подзаголовок,Валютные пары относятся к рынку Форекс. В эту категорию входит более 40 финансовых инструментов с наибольшей ликвидностью.,
2.2.3. Металлы,,,,
64,marketsListText.market2.title,Заголовок,Драгоценные металлы,
65,marketsListText.market2.text|dot,Подзаголовок,Вы можете беспрепятственно торговать золотом и серебром в формате CFD. Рынок драгоценных металлов считается одним из самых перспективных и высокомаржинальных. ,
2.2.4. Акции,,,,
66,marketsListText.market3.title,Заголовок,Акции компаний,
67,marketsListText.market3.text|dot,Подзаголовок,Выбирайте наиболее перспективные и ликвидные акции компаний для сделок в формате контрактов на разницу цен. ,
2.2.5. Товары,,,,
68,marketsListText.market4.title,Заголовок,Биржевые товары,
69,marketsListText.market4.text|dot,Подзаголовок,"Для онлайн-трейдинга доступен большой выбор товаров, которые относятся к сырьевому рынку. Речь идет о газе и нефти, которые торгуются на мировых фондовых биржах. ",
2.2.6. Индексы,,,,
70,marketsListText.market5.title,Заголовок,Фондовые индексы,
71,marketsListText.market5.text|dot,Подзаголовок,Используйте биржевые индексы для диверсификации своих активов. Фондовый рынок считается одним из самых прибыльных за счет высокой ликвидности и прогнозируемой динамики.,
2.2.7. Криптовалюты,,,,
72,marketsListText.market6.title,Заголовок,Криптовалюты,
73,marketsListText.market6.text|dot,Подзаголовок,Цифровые токены относятся к криптовалютному рынку. Теперь торговать криптовалютой можно на разницу цен. Это значительно повышает возможную прибыль за счет торговли в любом направлении.,
2.3. Валюты,,,,
2.3.1. Посадочный экран,,,,
74,forexHeaderText.title,Заголовок,Преимущества валютного рынка,
75,forexHeaderText.text|dot,Подзаголовок,"Рынок Форекс имеет множество преимуществ за счет возможности использования кредитного плеча, низких маржинальных требований и высокой ликвидности. Ознакомьтесь подробнее с преимуществами валютного рынка ниже. ",
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Нет инвестиционных рисков,
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,Получить прибыль на валютном рынке можно при любой экономической ситуации.,
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,Высокая ликвидность,
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Ни для кого не секрет, что валютный рынок является одним из самых ликвидных в мире.",
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Защита баланса,
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,Каждый трейдер нашей брокерской компании имеет защищенный от отрицательного баланса счет.,
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Сделки не облагаются налогами,
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Вся прибыль от сделок с валютой выводится без налоговых вычетов, что повышает потенциальную доходность.",
2.3.2. Описание рынка,,,,
84,forexAssetsText.title,Заголовок,Что такое валютный рынок,
85,forexAssetsText.text|dot,Подзаголовок,"CFD на Forex позволяют торговать всеми валютными парами на рынке. Вы можете торговать основными парами, включая GBP / USD, USD / JPY, EUR / USD и AUD / USD. Также доступны второстепенные (Minor) пары Forex, такие как AUD / JPY и EUR / GBP, и экзотические пары Forex, такие как USD / ZAR.",
2.4. Металлы,,,,
2.4.1. Посадочный экран,,,,
86,metalsHeaderText.title,Заголовок,Преимущества рынка металлов,
87,metalsHeaderText.text|dot,Подзаголовок,"Особенностью CFD-рынка металлов является возможность открывать сделки в двух направлениях: при понижении или при повышении цены на активы. Для этого можно использовать кредитное плечо, микролоты и другие особые инструменты. ",
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Нет ограничений по цене входа и выхода,
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Открывать длинные и короткие позиции можно при любой цене, а также с любым объемом от 0.01 лота.",
90,metalsProfitsText.profit4.title,Преимущество №2. Заголовок.,Низкие требования к марже,
91,metalsProfitsText.profit4.text|dot,Преимущество №2. Описание.,"За счет доступа к микролотам можно торговать металлами даже с малым депозитом, не рискуя большим количеством средств.",
92,metalsProfitsText.profit2.title,Преимущество №3. Заголовок.,Простое управление сделками,
93,metalsProfitsText.profit2.text|dot,Преимущество №3. Описание.,Для открытия ордера потребуется указать всего несколько базовых параметров без каких-либо сложностей.,
94,metalsProfitsText.profit3.title,Преимущество №4. Заголовок.,Мгновенное исполнение Buy и Sell,
95,metalsProfitsText.profit3.text|dot,Преимущество №4. Описание.,"Сделки на покупку и продажу исполняются без пауз, реквот и проскальзываний. ",
2.4.2. Описание рынка,,,,
96,metalsAssetsText.title,Заголовок,Что такое рынок металлов,
97,metalsAssetsText.text|dot,Подзаголовок,"Мировой рынок драгоценных металлов является одним из самых сбалансированных. На нем торгуются такие активы, как золото, серебро, платина и другие. В данном случае речь идет о контрактах на разницу цен. Это наиболее выгодный формат торговли с низкими маржинальными требованиями.",
2.5. Акции,,,,
2.5.1. Посадочный экран,,,,
98,stocksHeaderText.title,Заголовок,Преимущества рынка акций,
99,stocksHeaderText.text|dot,Подзаголовок,"У CFD-трейдинга акциями есть множество преимуществ. В этом формате торговли не нужно становиться акционером и покупать целые лоты актива. Достаточно открывать сделки на разницу цен в любом направлении, чтобы получить потенциальную прибыль.",
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Исполнение сделок в любое время,
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Сделки на фондовом рынке можно осуществлять в любое буднее время, кроме выходных дней.",
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Кредитное плечо по умолчанию,
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,Доступ к кредитному плечу в сделках предоставляется автоматически (вы сами можете выбрать нужное плечо).,
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Удобное отслеживание цен,
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,Удобнее всего отслеживать графики и контролировать цены на активы в торговом терминале нашей компании.,
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Без дополнительных комиссий,
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Ордера с акциями компаний исполняются без скрытых платежей, по заранее утвержденному спреду.",
2.5.2. Описание рынка,,,,
108,stocksAssetsText.title,Заголовок,Что такое рынок акций,
109,stocksAssetsText.text|dot,Подзаголовок,"В этом типе торговли CFD акции становятся базовым активом. Как и в случае с другими инструментами CFD, вы не владеете активом, но соглашаетесь с поставщиком, чтобы спекулировать на движении цены акций.",
2.6. Товары,,,,
2.6.1. Посадочный экран,,,,
110,commoditiesHeaderText.title,Заголовок,Преимущества товарного рынка,
111,commoditiesHeaderText.text|dot,Подзаголовок,"Через торговую платформу нашей брокерской компании вы можете торговать основными мировыми товарами в виде CFD. Когда вы открываете позицию по CFD на определенный товар, вы не покупаете этот товар. Вместо этого, вы инвестируете в изменение рыночной цены этого товара.",
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Легкость совершения сделок,
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Вы больше нигде не сможете так же легко совершать сделки с сырьем, как в CFD-трейдинге.",
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Выгода в любой ситуации,
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Даже во время падающего рынка можно найти выгоду и заработать профит.,
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Управляемая маржа,
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Понадобится всего пару кликов, чтобы настроить ордер и указать размер лота, кредитное плечо и другие параметры.",
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Рыночные спреды,
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Спреды для сделок с товарами всегда рыночные и прозрачные, без каких-либо реквот или проскальзываний.",
2.6.2. Описание рынка,,,,
120,commoditiesAssetsText.title,Заголовок,Что такое рынок биржевых товаров,
121,commoditiesAssetsText.text|dot,Подзаголовок,"Торговля товарами в формате CFD ничем не отличается от торговли другими классами активов. Цель любой сделки — купить актив по низкой цене и продать по более высокой. Или же наоборот, если речь идет о нисходящем тренде. В эту категорию входят самые ликвидные сырьевые позиции: нефть и газ.",
2.7. Индексы,,,,
2.7.1. Посадочный экран,,,,
122,indicesHeaderText.title,Заголовок,Преимущества рынка индексов,
123,indicesHeaderText.text|dot,Подзаголовок,"Ключевой особенностью данного рынка является возможность открывать позиции на длительный срок в формате CFD. К тому же, индексы включают в себя множество акций. А это упрощает моделирование рыночных ситуаций и облегчает прогнозирование.",
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Любой объем инвестиций,
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Даже с минимальным депозитом можно открывать сделки с фондовыми индексами на разницу цен.,
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Допустима любая стратегия,
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Выберете индивидуальный стиль трейдинга и используйте его без ограничений.,
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Отсутствие комиссии за исполнение,
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"В традиционном трейдинге сделки на фондовом рынке облагаются комиссией, но только не в CFD-торговле.",
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Торговля в один клик,
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Только представьте, что вы можете одним нажатием кнопки мыши открывать сделки на фондовом рынке.",
2.7.2. Описание рынка,,,,
132,indicesAssetsText.title,Заголовок,Что такое фондовый рынок,
133,indicesAssetsText.text|dot,Подзаголовок,"Фондовый рынок включает в себя не только отдельно взятые акции компаний, но и целые индексы. Они объединяют в себе десятки или сотни ценных бумаг одной сферы деятельности или направления. ",
2.8. Криптовалюты,,,,
2.8.1. Посадочный экран,,,,
134,cryptoHeaderText.title,Заголовок,Преимущества криптовалютного рынка,
135,cryptoHeaderText.text|dot,Подзаголовок,"Наверняка все слышали о чрезвычайной волатильности криптовалютного рынка. Это значит, что наибольшую прибыль здесь получают трейдеры, которые используют формат CFD. Откройте счет и получите к нему прямой доступ!",
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Сделки с любым объемом,
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Торговля криптовалютой в формате CFD допустима с любым объемом, начиная от 0.01 лота.",
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Ордера на повышение и понижение,
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Вы можете открывать сделки в любом из двух направлений, независимо от рыночной ситуации.",
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Сниженные риски,
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Криптовалюты очень волатильные, но в CFD-торговле можно получать прибыль даже во время падения рынка.",
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Не нужны специальные навыки,
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,Для онлайн-трейдинга криптовалютой не нужно заканчивать специальные курсы или получить лицензию брокера.,
2.8.2. Описание рынка,,,,
144,cryptoAssetsText.title,Заголовок,Что такое криптовалютный рынок,
145,cryptoAssetsText.text|dot,Подзаголовок,"Криптовалютный рынок включает в себя десятки цифровых токенов, среди которых Bitcoin, Ripple, Dogecoin, Monero, Ethereum и многие другие. Все эти активы основаны на технологии криптоваграфического шифрования. Именно из-за уникальности этой системы ценность криптовалют возрастает. ",
3. Торговые условия,,,,
3.1. Посадочный экран,,,,
146,tradingHeaderText.title,Заголовок,Торговые условия,
147,tradingHeaderText.text|dot,Подзаголовок,"Ознакомьтесь с выгодными условиями онлайн-трейдинга с нашей брокерской компанией. Оцените низкие спреды, ускоренное исполнение сделок и высокую стабильность ордеров.",
3.2. Калькулятор трейдера,,,,
148,tradingCalculatorText.title,Заголовок,Воспользуйтесь бесплатным калькулятором трейдера,
149,tradingCalculatorText.text|dot,Подзаголовок,Совершенно бесплатный онлайн-калькулятор трейдера доступен каждому из вас прямо на этой странице. Укажите исходные данные и получите готовый расчет потенциального исхода сделки. ,
3.3. Расчетные данные,,,,
150,estimationText.offer_1,Инструмент,"Инструмент: <div class=""description"">укажите выбранный финансовый инструмент из списка</div>",
151,estimationText.offer_2,Цена открытия,"Цена: <div class=""description"">укажите предположительную цену открытия и закрытия ордера, чтобы узнать возможный результат</div>",
152,estimationText.offer_3,Объем сделки,"Объем сделки: <div class=""description"">укажите точный объем сделки в лотах</div>",
153,estimationText.offer_4,"Спред, в пунктах","Спред в пунктах: <div class=""description"">просчитывается автоматически исходя из разницы между ценами Ask и Bid</div>",
154,estimationText.offer_5,"Своп, в USD","Своп в USD: <div class=""description"">просчитывается автоматически исходя из стоимости переноса позиции в ночное время</div>",
155,estimationText.offer_6,Маржа в USD,"Маржа: <div class=""description"">указанные данные - это минимальный размер свободного депозита, который необходим для осуществления сделки</div>",
156,estimationText.offer_7,Прибыль в USD,"Прибыль: <div class=""description"">указывается вероятная прибыль на основании введенных параметров</div>",
3.4. Пример расчета,,,,
157,estimationText.h2,Заголовок,"Посмотрите на то, как работает калькулятор трейдера",
158,estimationText.ul_title|dot,Подзаголовок,Исходные данные,
159,estimationText.li_1,Данные №1,Инструмент,
160,estimationText.li_2,Данные №2,Цена открытия,
161,estimationText.li_3,Данные №3,Объем сделки,
162,estimationText.li_4,Данные №4,Спред в пунктах,
163,estimationText.li_5,Данные №5,Своп в USD,
164,estimationText.li_6,Данные №6,Маржа,
165,estimationText.li_7,Данные №7,Прибыль,
4. О компании,,,,
 ,,,,
166,aboutHeaderText.title,Слоган-заголовок,Стабильный трейдинг с максимально простыми условиями,
167,aboutHeaderText.text|dot,Подзаголовок,"Наша брокерская компания максимально упростила условия регистрации для доступа к финансовым рынкам онлайн. Каждый желающий может использовать свой смартфон, планшет или компьютер для того, чтобы совершать прибыльные сделки.",
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='34700'>0</span>,
169,aboutCounterText.counter1.text,Текст показателя №1,открытых торговых счетов,
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='380000'>0</span>,
171,aboutCounterText.counter2.text,Текст показателя №2,торговых операций в день,
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3' data-indicator-number='200'>0</span>+,
173,aboutCounterText.counter3.text,Текст показателя №3,торговых инструментов,
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='122'>0</span> млн,
175,aboutCounterText.counter4.text,Текст показателя №4,долларов ежедневный объем торговли,
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>-й,
177,aboutCounterText.counter5.text,Текст показателя №5,год на рынке,
4.2. Вы в центре всего,,,,
178,aboutConditionsText.title,Заголовок,Особое внимание каждому трейдеру,
179,aboutConditionsText.text|dot,Подзаголовок,Все торговые условия и программные продукты прорабатывались с учетом требований и пожеланий реальных инвесторов и участников финансовых рынков. ,
4.3. Цели и задачи компании,,,,
180,aboutGoalsText.h2,Общий заголовок,Главная миссия нашей компании,
181,aboutGoalsText.goal1.title,Заголовок №1,Завоевать статус брокера №1 в Евразии,
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,Получить подобный статус можно посредством постоянного увеличения количества активных клиентов.,
183,aboutGoalsText.goal2.title,Заголовок №2,Поддерживать самые выгодные торговые условия,
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,Постоянный рост количества активных трейдеров возможен лишь при улучшающих условиях обслуживания.,
4.4. Больше возможностей для трейдинга,,,,
185,aboutQualityText.title,Заголовок №1,Успейте заработать на высоколиквидных финансовых рынках!,
186,aboutQualityText.text|dot,Описание заголовка №1,"За последние 2 года общая капитализация финансовых рынков выросла более чем на 50%. Это открывает большие возможности для трейдинга, так как инвесторы все больше вкладывают деньги в растущие рынки. Успейте и вы!",
4.5. Наша история,,,,
187,aboutHistoryText.h2,Общий заголовок,Узнайте об истории развития нашей компании,
188,aboutHistoryText.year1.title,2018 год. Заголовок,Начало пути,
189,aboutHistoryText.year1.text|dot,2018 год. Описание,"За первый год деятельности компании клиенты открыли более 40 000 счетов, что стало результатом очень выверенного подхода к качеству торговых услуг.",
190,aboutHistoryText.year2.title,2019 год. Заголовок,Масштабирование,
191,aboutHistoryText.year2.text|dot,2019 год. Описание,"Второй год деятельности компании ознаменовался открытием нескольких представительств, а также заключением партнерских соглашений.",
192,aboutHistoryText.year3.title,2020 год. Заголовок,Международные победы,
193,aboutHistoryText.year3.text|dot,2020 год. Описание,На мировой арене наша брокерская компания одержала несколько важных побед. Также значимым событием стало открытие 300-тысячного счета клиента. ,
194,aboutHistoryText.year4.title,2021 год. Заголовок,Новые IT-решения,
195,aboutHistoryText.year4.text|dot,2021 год. Описание,"Для того, чтобы оставаться лидером, нашей команде пришлось разрабатывать инновационные технологические решение. ",
4.6. Платформа для торговли разработанная для людей.,,,,
196,aboutPlatformText.title,Заголовок,Торговая платформа для доступа к онлайн-трейдингу из любой точки мира,
197,aboutPlatformText.text|dot,Подзаголовок,"В торговой платформе нашей брокерской компании собраны все инструменты для результативного трейдинга. Это быстро, понятно и функционально. ",
198,aboutPlatformText.advantage1,Преимущества №1,Встроенные инструменты для технического и графического анализа,
199,aboutPlatformText.advantage2,Преимущества №2,Отсутствие реквот и проскальзываний,
200,aboutPlatformText.advantage3,Преимущества №3,Торговля 24/7,
201,aboutPlatformText.advantage4,Преимущества №4,Молниеносное исполнение ордеров,
202,aboutPlatformText.advantage5,Преимущества №5,Защита персональных данных,
203,aboutPlatformText.advantage6,Преимущества №6,Простой и интуитивно понятный интерфейс,
204,aboutPlatformText.advantage7,Преимущества №7,Широкое кредитное плечо,
5. Лицензии.,,,,
5.1. Посадочный экран,,,,
205,licensesHeaderText.title,Заголовок,Регуляция и брокерская аккредитация ,
206,licensesHeaderText.text,Подзаголовок к заголовку,Деятельность нашей брокерской компании сертифицирована авторитетными регуляторами и независимыми финансовыми комиссиями. Узнать больше о партнерах и регуляторах можно на этой странице.,
5.2. Информация о регуляторах и банках,,,,
207,licensesListText.license1.title,Заголовок №1,FSA,
208,licensesListText.license1.text,Описание №1,"FSA - единственная регулирующая организация на островах Сент-Винсент и Гренадины, целью которой является регулирование финансового сектора.",
209,licensesListText.license2.title,Заголовок №2,MiFID II,
210,licensesListText.license2.text,Описание №2,MiFID означает Директиву о рынках финансовых инструментов. Он вступил в силу в ЕС с ноября 2007 года. MiFID также описывает минимальные требования к капиталу и обязательную сегрегацию клиентских и корпоративных средств. ,
211,licensesListText.license3.title,Заголовок №3,FINMA,
212,licensesListText.license3.text,Описание №3,FINMA в Швейцарии тесно координирует свою деятельность с регулирующими органами других стран и действует как несколько банков по всему миру. ,
213,licensesListText.license4.title,Заголовок №4,CySEC,
214,licensesListText.license4.text,Описание №4,CySEC является авторитетным и заслуживающим доверия регулятором и считается предпочтительной юрисдикцией для многих форекс-компаний.,
215,licensesListText.license5.title,Заголовок №5,Integral,
216,licensesListText.license5.text,Описание №5,"Один из крупнейших в мире агрегаторов ликвидности, который известен стабильностью котировок и высоким уровнем надежности в передаче данных.",
217,licensesListText.license6.title,Заголовок №6,Currenex,
218,licensesListText.license6.text,Описание №6,"Система Currenex - это прямые котировки от маркет-мейкеров, мгновенное исполнение ордеров, высочайшая ликвидность и максимальная прозрачность.",
219,licensesListText.license7.title,Заголовок №7,IFSC,
220,licensesListText.license7.text,Описание №7,"IFSC (International Financial Services Commission), Международная комиссия по финансовым услугам – государственный регулятор Белиза.",
221,licensesListText.license8.title,Заголовок №8,Bank of America,
222,licensesListText.license8.text,Описание №8,"Это один из крупнейших банков в мире с совокупными активами в $2,281 трлн. С рыночной стоимостью в $325 млрд это третий по величине банк в мире по рыночной капитализации.",
6. Ошибка 404.,,,,
223,headerText404.title,Заголовок,Ошибка 404,错误404.
224,headerText404.text,Подзаголовок,"Данной страницы не существует, обратитесь в службу поддержки.",此页面不存在，请联系您的支持服务。
225,headerText404.textMainPage,Вернуться на главную страницу,Вернуться на главную страницу,回到主页
226,headerText404.textSupport,Служба технической поддержки,Служба технической поддержки,技术支持服务
8. Формы,,,,#VALUE!
8.1. Заголовки форм,,,,#VALUE!
228,formsText.titleEnter,Вход в личный кабинет,Вход в личный кабинет,登录
229,formsText.titleCallback,Оставить заявку,Оставить заявку,提交您的申请
230,formsText.titleTwoauth,Двухэтапная авторизация,Двухфакторная авторизация,双因素授权
231,buttonText.signup,Регистрация,Регистрация,登记
232,fotmsText.titleReminder,Восстановление пароля,Восстановление пароля,找回密码
8.2. Поля ввода,,,,#VALUE!
233,formsText.labelName,Введите ваше имя,Имя *,姓名 *
234,formsText.placeholderName,Введите ваше имя (placeholder),Ваше имя,你的名字
235,formsText.labelLastName,Введите вашу фамилию,Фамилия *,姓 *
