id,constant,position,translate
31,indexStepsText.h2,Главный заголовок раздела,Eröffnen Sie ein Handelskonto in 3 Schritten
32,indexStepsText.step1.title,Шаг №1,Füllen Sie einen Antrag auf der Website aus
33,indexStepsText.step1.text|dot,Описание Шага №1,"Auf der Hauptwebsite gibt es einen Bereich ""Registrierung"", in dem Sie Ihre Kontaktdaten angeben müssen."
34,indexStepsText.step2.title,Шаг №2,Geld einzahlen
35,indexStepsText.step2.text|dot,Описание Шага №2,Unmittelbar nach der Registrierung können Sie den gewünschten Betrag auf das Handelskonto einzahlen.
36,indexStepsText.step3.title,Шаг №3,Autorisieren im persönlichen Schrank
37,indexStepsText.step3.text|dot,Описание Шага №3,Der letzte Schritt ist die Autorisierung im persönlichen Schrank mit dem gewünschten Zugriff auf den Online-Handel.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Handelskonten zur Auswahl
39,indexAccountsText.account1.title,Аккаунт №1,Opti Trade
40,indexAccountsText.account1.text|dot,Подзаголовок для аккаунта №1,"Optimal für Trader, die neu auf dem Online-Handelsmarkt sind."
41,indexAccountsText.account2.title,Аккаунт №2,Standard Trade
42,indexAccountsText.account2.text|dot,Подзаголовок для аккаунта №2,Optimierte Bedingungen für die Geschäftsabwicklung sowie eine erweiterte Liste von Finanzinstrumenten.
43,indexAccountsText.account3.title,Аккаунт №3,Maxi Trade
44,indexAccountsText.account3.text|dot,Подзаголовок для аккаунта №3,Maximal möglicher Nutzen für erfahrene Trader und selbstbewusste Investoren.
45,indexAccountsText.account_condition_1,Минимальный депозит:,Mindesteinzahlung
46,indexAccountsText.account_condition_2,Кредитное плечо:,Hebel
47,indexAccountsText.account_condition_3,Моментальное исполнение,Sofortige Ausführung
48,indexAccountsText.account_condition_4,Торговля криптовалютами и металлами,Handel mit Kryptowährungen und Metallen
49,indexAccountsText.account_condition_5,Возможность инвестиций в ПАММ-счета,PAMM-Konten investieren
50,indexAccountsText.account_condition_6,Отсутствие свопа,Kein Tausch
51,indexAccountsText.account_condition_7,Торговля ETF и индексами,ETF and index trading
52,indexAccountsText.account_condition_8,Страхование депозитов,Einlagensicherung
53,indexAccountsText.account_condition_9,Персональный менеджер,Persönlicher Manager
54,indexAccountsText.account_condition_10,Открытие личного ПАММ-счета,Eröffnung eines persönlichen PAMM-Kontos
53,indexAccountsText.account_condition_11,Защита депозитов,Einlagenschutz
54,indexAccountsText.account_condition_12,Круглосуточная поддержка,24-Stunden-Support
1.6. Новости,,,
55,indexNewsText.h2,Главный заголовок раздела,Top-Wirtschaftsnachrichten lesen
1.7. Футер,,,
56,footerContent,Футер текст,"Der Name Brocker ist bei Northern Shops registriert. Mile 1 Phillip Goldson Highway, Belize City, Belize. Unser Geschäft wird unter der relevanten Cyprus Securities and Exchange Commission (Lizenznummer: 877/09), International Financial Services Commission (IFSC) (54/98/DL/12) und der Financial Services Commission der Republik Mauritius (Investment Dealer License Number: X0098233124) betrieben."
2. Рынки и инструменты,,,
2.2. Обзор рынков,,,
2.2.1. Посадочный экран,,,
57,marketsHeaderText.title,Заголовок,Überblick über die Finanzmärkte
58,marketsHeaderText.text|dot,Подзаголовок,Lernen Sie eine große Vielfalt an Finanzinstrumenten aus verschiedenen Märkten kennen.
59,commonMarketsText.title_graph,Загловок торгового графика,Chart des Handelsinstruments
60,commonMarketsText.title_table,Заголовок таблицы инструментов,Tabelle der Instrumente
61,commonMarketsText.footnote,Часы работы рынков,* Öffnende und schließende Handelszeiten werden bei UTC+0 angegeben
2.2.2. Валюты,,,
62,marketsListText.market1.title,Заголовок,Währungspaare
63,marketsListText.market1.text|dot,Подзаголовок,Währungspaare beziehen sich auf den Devisenmarkt. Diese Kategorie umfasst mehr als 40 Finanzinstrumente mit hoher Liquidität.
2.2.3. Металлы,,,
64,marketsListText.market2.title,Заголовок,Edelmetalle
65,marketsListText.market2.text|dot,Подзаголовок,Sie können Gold und Silber im CFD-Format frei handeln. Der Edelmetallmarkt gilt als einer der vielversprechendsten und margenstärksten Märkte.
2.2.4. Акции,,,
66,marketsListText.market3.title,Заголовок,Aktien der Gesellschaft
67,marketsListText.market3.text|dot,Подзаголовок,Wählen Sie die anspruchsvollsten und liquidesten Aktien für CFD-Geschäfte.
2.2.5. Товары,,,
68,marketsListText.market4.title,Заголовок,Rohstoffe
69,marketsListText.market4.text|dot,Подзаголовок,"Für den Online-Handel steht eine vielfältige Auswahl an Rohstoffen zur Verfügung. Dabei handelt es sich um Gas und Öl, die an den Weltbörsen gehandelt werden."
2.2.6. Индексы,,,
70,marketsListText.market5.title,Заголовок,Aktien-Indizes
71,marketsListText.market5.text|dot,Подзаголовок,"Verwenden Sie Aktienindizes, um Ihr Vermögen zu diversifizieren. Der Aktienmarkt gilt aufgrund seiner hohen Liquidität und vorhersehbaren Dynamik als einer der profitabelsten."
2.2.7. Криптовалюты,,,
72,marketsListText.market6.title,Заголовок,Kryptowährungen
73,marketsListText.market6.text|dot,Подзаголовок,"Digitale Token beziehen sich auf den Markt der Kryptowährungen. Es ist nun möglich, Kryptowährungen auf Preisunterschiede zu handeln. Dies erhöht die möglichen Gewinne beim Handel in beide Richtungen erheblich."
2.3. Валюты,,,
2.3.1. Посадочный экран,,,
74,forexHeaderText.title,Заголовок,Vorteile des FX-Marktes
75,forexHeaderText.text|dot,Подзаголовок,"Der Devisenmarkt hat viele Vorteile durch seine Hebelwirkung, niedrige Margenanforderungen und hohe Liquidität. Lesen Sie unten mehr über die Vorteile des Devisenmarktes."
76,forexProfitsText.profit1.title,Преимущество №1. Заголовок.,Keine Investitions-Risiken
77,forexProfitsText.profit1.text|dot,Преимущество №1. Описание.,Sie können am Devisenmarkt in jeder wirtschaftlichen Situation profitieren.
78,forexProfitsText.profit2.title,Преимущество №2. Заголовок.,Hohe Liquidität
79,forexProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Es ist kein Geheimnis, dass der Währungsmarkt einer der liquidesten Märkte der Welt ist."
80,forexProfitsText.profit3.title,Преимущество №3. Заголовок.,Schutz der Bilanz
81,forexProfitsText.profit3.text|dot,Преимущество №3. Описание.,Jeder Trader unserer Brokerfirma hat den Kontoschutz vor negativem Saldo.
82,forexProfitsText.profit4.title,Преимущество №4. Заголовок.,Es werden keine Steuern auf Transaktionen erhoben
83,forexProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Alle Gewinne aus Währungsgeschäften werden steuerfrei abgezogen, was die potenzielle Rentabilität erhöht."
2.3.2. Описание рынка,,,
84,forexAssetsText.title,Заголовок,Was ist der Devisenmarkt
85,forexAssetsText.text|dot,Подзаголовок,"Mit Forex CFDs können Sie alle Währungspaare auf dem Markt handeln. Sie können die wichtigsten Paare handeln, darunter GBP/USD, USD/JPY, EUR/USD und AUD/USD. Kleinere Paare, wie AUD / JPY und EUR / GBP, und exotische Forex-Paare, wie USD / ZAR, sind ebenfalls verfügbar."
2.4. Металлы,,,
2.4.1. Посадочный экран,,,
86,metalsHeaderText.title,Заголовок,Vorteile des Metallmarktes
87,metalsHeaderText.text|dot,Подзаголовок,"Eine Besonderheit des Metall-CFD-Marktes ist die Möglichkeit, Trades in zwei Richtungen zu eröffnen - wenn der Preis eines Assets fällt oder steigt. Zu diesem Zweck können Hebel, Mikrolots und andere spezielle Instrumente eingesetzt werden."
88,metalsProfitsText.profit1.title,Преимущество №1. Заголовок.,Keine Einschränkungen bezüglich Ein- und Ausstiegskurs
89,metalsProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Sie können Long- und Short-Positionen zu jedem Preis und mit jedem Volumen ab 0,01 Lots eröffnen."
90,metalsProfitsText.profit4.title,Преимущество №2. Заголовок.,Niedrige Margin-Anforderungen
91,metalsProfitsText.profit4.text|dot,Преимущество №2. Описание.,"Der Zugang zu Mikro-Lots ermöglicht es Ihnen, Metalle auch mit einer kleinen Einzahlung zu handeln, ohne zu viel Geld zu riskieren."
92,metalsProfitsText.profit2.title,Преимущество №3. Заголовок.,Einfaches Handelsmanagement
93,metalsProfitsText.profit2.text|dot,Преимущество №3. Описание.,"Sie müssen nur ein paar grundlegende Parameter angeben, um einen Auftrag ohne Schwierigkeiten zu eröffnen."
94,metalsProfitsText.profit3.title,Преимущество №4. Заголовок.,Sofortige Ausführung von Kauf- und Verkaufsaufträgen
95,metalsProfitsText.profit3.text|dot,Преимущество №4. Описание.,"Sowohl Kauf- als auch Verkaufsaufträge werden ohne Pause, Requotes und Slippage ausgeführt."
2.4.2. Описание рынка,,,
96,metalsAssetsText.title,Заголовок,Was ist der Metallmarkt
97,metalsAssetsText.text|dot,Подзаголовок,"Der globale Edelmetallmarkt ist einer der liquidesten Märkte. Zu den dort gehandelten Vermögenswerten gehören Gold, Silber, Platin und andere. In diesem Fall handelt es sich um Differenzkontrakte. Dies ist das profitabelste Handelsformat mit geringen Margin-Anforderungen."
2.5. Акции,,,
2.5.1. Посадочный экран,,,
98,stocksHeaderText.title,Заголовок,Vorteile des Aktienmarktes
99,stocksHeaderText.text|dot,Подзаголовок,"Der CFD-Aktienhandel hat eine Menge Vorteile. Bei diesem Handelsformat müssen Sie nicht Aktionär werden und ganze Partien des Assets kaufen. Es reicht aus, Trades auf Preisdifferenzen in beliebiger Richtung zu eröffnen, um einen potentiellen Gewinn zu erzielen."
100,stocksProfitsText.profit1.title,Преимущество №1. Заголовок.,Ausführung von Transaktionen zu jeder Zeit
101,stocksProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Sie können an Wochentagen, außer an Wochenenden, jederzeit Transaktionen an der Börse durchführen."
102,stocksProfitsText.profit2.title,Преимущество №2. Заголовок.,Standardmäßige Hebelwirkung
103,stocksProfitsText.profit2.text|dot,Преимущество №2. Описание.,Die Hebelwirkung ist bei Transaktionen automatisch verfügbar (Sie können die gewünschte Hebelwirkung selbst auswählen).
104,stocksProfitsText.profit3.title,Преимущество №3. Заголовок.,Bequeme Preisverfolgung
105,stocksProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Die beste Möglichkeit, Ihre Charts im Auge zu behalten und die Preise Ihrer Assets zu überwachen, ist das Trading-Terminal unseres Unternehmens."
106,stocksProfitsText.profit4.title,Преимущество №4. Заголовок.,Keine zusätzlichen Provisionen
107,stocksProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Orders mit Unternehmensanteilen werden ohne versteckte Gebühren, entsprechend dem vorab genehmigten Spread, ausgeführt."
2.5.2. Описание рынка,,,
108,stocksAssetsText.title,Заголовок,Was ist der Aktienmarkt
109,stocksAssetsText.text|dot,Подзаголовок,"Bei dieser Art des CFD-Handels werden Aktien zum Basiswert. Wie bei anderen CFDs besitzen Sie den Vermögenswert nicht, sondern Sie vereinbaren mit dem Anbieter, auf die Bewegung des Aktienkurses zu spekulieren. "
2.6. Товары,,,
2.6.1. Посадочный экран,,,
110,commoditiesHeaderText.title,Заголовок,Vorteile auf dem Rohstoffmarkt
111,commoditiesHeaderText.text|dot,Подзаголовок,"Über die Handelsplattform unseres Maklerunternehmens können Sie die wichtigsten Rohstoffe der Welt in Form von CFDs handeln. Wenn Sie eine CFD-Position auf eine bestimmte Ware eröffnen, kaufen Sie diese Ware nicht. Stattdessen investieren Sie in die Veränderung des Marktpreises des Rohstoffs."
112,commoditiesProfitsText.profit1.title,Преимущество №1. Заголовок.,Leichtigkeit des Handels
113,commoditiesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Nirgendwo sonst ist der Handel mit Rohstoffen so einfach wie im CFD-Handel.
114,commoditiesProfitsText.profit2.title,Преимущество №2. Заголовок.,Profitieren Sie in jeder Situation
115,commoditiesProfitsText.profit2.text|dot,Преимущество №2. Описание.,Selbst in einem fallenden Markt können Sie Gewinne finden und machen.
116,commoditiesProfitsText.profit3.title,Преимущество №3. Заголовок.,Verwaltete Marge
117,commoditiesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Mit nur wenigen Klicks können Sie Ihre Order einrichten und Losgröße, Hebelwirkung und andere Parameter festlegen."
118,commoditiesProfitsText.profit4.title,Преимущество №4. Заголовок.,Markt-Spreads
119,commoditiesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Die Spreads für Rohstoffgeschäfte sind immer marktbasiert und transparent, ohne Requotes oder Slippage."
2.6.2. Описание рынка,,,
120,commoditiesAssetsText.title,Заголовок,Was ist der Commodity-Markt
121,commoditiesAssetsText.text|dot,Подзаголовок,"Der Handel mit Rohstoffen im CFD-Format unterscheidet sich nicht vom Handel mit anderen Anlageklassen. Der Zweck jeder Transaktion ist es, einen Vermögenswert zu einem niedrigen Preis zu kaufen und ihn zu einem höheren Preis zu verkaufen. Oder umgekehrt, wenn es sich um einen Abwärtstrend handelt. Zu dieser Kategorie gehören die liquidesten Rohstoffe: Öl und Gas."
2.7. Индексы,,,
2.7.1. Посадочный экран,,,
122,indicesHeaderText.title,Заголовок,Vorteile des Indexmarktes
123,indicesHeaderText.text|dot,Подзаголовок,"Das Hauptmerkmal dieses Marktes ist die Möglichkeit, langfristige CFD-Positionen zu eröffnen. Außerdem enthalten Indizes viele Aktien. Es erleichtert die Simulation von Marktbedingungen und macht Prognosen einfacher."
124,indicesProfitsText.profit1.title,Преимущество №1. Заголовок.,Investitionen jeder Größenordnung
125,indicesProfitsText.profit1.text|dot,Преимущество №1. Описание.,Sie können mit minimaler Einzahlung Aktienindizes auf Preisunterschiede handeln.
126,indicesProfitsText.profit2.title,Преимущество №2. Заголовок.,Jede Handelsstrategie ist akzeptabel
127,indicesProfitsText.profit2.text|dot,Преимущество №2. Описание.,"Wählen Sie den Handelsstil, der Ihren Bedürfnissen entspricht, und nutzen Sie ihn ohne Einschränkungen."
128,indicesProfitsText.profit3.title,Преимущество №3. Заголовок.,Keine Ausführungsgebühr
129,indicesProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Im traditionellen Handel sind Börsentransaktionen provisionspflichtig, nicht jedoch im CFD-Handel."
130,indicesProfitsText.profit4.title,Преимущество №4. Заголовок.,Ein-Klick-Handel
131,indicesProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Stellen Sie sich vor, dass Sie mit einem Klick Börsengeschäfte eröffnen können."
2.7.2. Описание рынка,,,
132,indicesAssetsText.title,Заголовок,Was ist der Aktienmarkt
133,indicesAssetsText.text|dot,Подзаголовок,"Der Aktienmarkt umfasst nicht nur einzelne Aktien von Unternehmen, sondern auch ganze Indizes. Sie kombinieren Dutzende oder Hunderte von Wertpapieren desselben Bereichs oder derselben Richtung."
2.8. Криптовалюты,,,
2.8.1. Посадочный экран,,,
134,cryptoHeaderText.title,Заголовок,Vorteile des Kryptowährungsmarktes
135,cryptoHeaderText.text|dot,Подзаголовок,"Jeder hat wahrscheinlich schon von der extremen Volatilität des Kryptowährungsmarktes gehört. Das bedeutet, dass die größten Gewinne hier von Händlern gemacht werden, die das CFD-Format nutzen. Eröffnen Sie ein Konto und erhalten Sie direkten Zugriff darauf!"
136,cryptoProfitsText.profit1.title,Преимущество №1. Заголовок.,Trades mit beliebigem Volumen
137,cryptoProfitsText.profit1.text|dot,Преимущество №1. Описание.,"Sie können Kryptowährungen im CFD-Format bereits ab 0,01 Lot handeln."
138,cryptoProfitsText.profit2.title,Преимущество №2. Заголовок.,Anstehende und zunehmende Aufträge
139,cryptoProfitsText.profit2.text|dot,Преимущество №2. Описание.,Unabhängig von der Marktsituation können Sie Orders in zwei Richtungen eröffnen.
140,cryptoProfitsText.profit3.title,Преимущество №3. Заголовок.,Reduzierte Risiken
141,cryptoProfitsText.profit3.text|dot,Преимущество №3. Описание.,"Kryptowährungen sind sehr volatil, aber mit dem CFD-Handel können Sie auch dann Gewinne erzielen, wenn der Markt fällt."
142,cryptoProfitsText.profit4.title,Преимущество №4. Заголовок.,Keine besonderen Kenntnisse erforderlich
143,cryptoProfitsText.profit4.text|dot,Преимущество №4. Описание.,"Sie müssen keine speziellen Kurse absolvieren oder eine Broker-Lizenz erhalten, um online mit Kryptowährungen zu handeln."
2.8.2. Описание рынка,,,
144,cryptoAssetsText.title,Заголовок,Was ist der Kryptowährungsmarkt
145,cryptoAssetsText.text|dot,Подзаголовок,"Der Kryptowährungsmarkt umfasst Dutzende von digitalen Token, darunter Bitcoin, Ripple, Dogecoin, Monero, Ethereum und viele andere. Alle diese Vermögenswerte basieren auf der Verschlüsselungstechnologie von Kryptowährungen. Es ist wegen der Einzigartigkeit dieses Systems, dass der Wert von Kryptowährungen steigt.  "
3. Торговые условия,,,
3.1. Посадочный экран,,,
146,tradingHeaderText.title,Заголовок,Handelsbedingungen
147,tradingHeaderText.text|dot,Подзаголовок,"Informieren Sie sich über unsere günstigen Online-Handelskonditionen. Sie werden niedrige Spreads, schnelle Ausführung und hohe Orderstabilität genießen."
3.2. Калькулятор трейдера,,,
148,tradingCalculatorText.title,Заголовок,Testen Sie den kostenlosen Trader's Calculator
149,tradingCalculatorText.text|dot,Подзаголовок,Unser kostenloser Online-Trader-Rechner steht Ihnen direkt auf dieser Seite zur Verfügung. Geben Sie Ihre Ausgangsdaten an und erhalten Sie eine fertige Berechnung des möglichen Geschäftsergebnisses.
3.3. Расчетные данные,,,
150,estimationText.offer_1,Инструмент,"Instrument: <div class=""description"">geben Sie das ausgewählte Finanzinstrument aus der Liste an</div>"
151,estimationText.offer_2,Цена открытия,"Preis: <div class=""description"">geben Sie den geschätzten Preis für die Eröffnung und Schließung der Bestellung an, um das mögliche Ergebnis der Bestellung zu sehen</div>"
152,estimationText.offer_3,Объем сделки,"Handelsvolumen: <div class=""description"">genaue Angabe des Handelsvolumens in Losen</div>"
153,estimationText.offer_4,"Своп, в пунктах","Spread in punkten: <div class=""description"">wird automatisch auf der Grundlage der Differenz zwischen Ask- und Bid-Preisen berechnet</div>"
154,estimationText.offer_5,"Своп, в USD","Swap in USD: <div class=""description"">automatisch berechnet auf der Grundlage der Kosten für den Positions-Rollover in der Nacht</div>"
155,estimationText.offer_6,Маржа в USD,"Marge: <div class=""description"">die angegebenen Daten sind der Mindestbetrag der kostenlosen Einzahlung, der für die Durchführung einer Transaktion erforderlich ist</div>"
156,estimationText.offer_7,Прибыль в USD,"Gewinn: <div class=""description"">angabe des wahrscheinlichen Gewinns auf der Grundlage der aktuellen Parameter</div>"
3.4. Пример расчета,,,
157,estimationText.h2,Заголовок,"Schauen Sie sich an, wie der Trader-Rechner funktioniert"
158,estimationText.ul_title|dot,Подзаголовок,Erste Daten
159,estimationText.li_1,Данные №1,Instrument
160,estimationText.li_2,Данные №2,Eröffnungskurs
161,estimationText.li_3,Данные №3,Transaktionsvolumen
162,estimationText.li_4,Данные №4,Spread in punkten
163,estimationText.li_5,Данные №5,Swap in USD
164,estimationText.li_6,Данные №6,Margin
165,estimationText.li_7,Данные №7,Profitieren
4. О компании,,,
4.1. О компании + Показатели,,,
166,aboutHeaderText.title,Слоган-заголовок,Stabiler Handel mit einfachsten Bedingungen
167,aboutHeaderText.text|dot,Подзаголовок,"Unser Brokerage-Unternehmen hat die Registrierungsbedingungen für den Online-Zugang zu den Finanzmärkten so einfach wie möglich gestaltet. Jeder kann seine Smartphones, Tablets oder Computer nutzen, um profitable Geschäfte zu machen."
168,aboutCounterText.counter1.title,Показатель №1,<span class='indicator-number_1' data-indicator-number='34700'>0</span>
169,aboutCounterText.counter1.text,Текст показателя №1,Handelskonten eröffnen
170,aboutCounterText.counter2.title,Показатель №2,<span class='indicator-number_2' data-indicator-number='380000'>0</span>
171,aboutCounterText.counter2.text,Текст показателя №2,Handelsgeschäfte pro Tag
172,aboutCounterText.counter3.title,Показатель №3,<span class='indicator-number_3'' data-indicator-number='200'>0</span>+
173,aboutCounterText.counter3.text,Текст показателя №3,Handelsinstrumente
174,aboutCounterText.counter4.title,Показатель №4,<span class='indicator-number_4' data-indicator-number='122'>0</span> Mio.
175,aboutCounterText.counter4.text,Текст показателя №4,tägliches Handelsvolumen
176,aboutCounterText.counter5.title,Показатель №5,<span class='indicator-number_5' data-indicator-number='4'>0</span>
177,aboutCounterText.counter5.text,Текст показателя №5,Jahr auf dem Markt
4.2. Вы в центре всего,,,
178,aboutConditionsText.title,Заголовок,Besondere Aufmerksamkeit für jeden Trader
179,aboutConditionsText.text|dot,Подзаголовок,Alle Handelskonditionen und Softwareprodukte sind nach den Anforderungen und Wünschen echter Investoren und Finanzmarktteilnehmer entwickelt worden.
4.3. Цели и задачи компании,,,
180,aboutGoalsText.h2,Общий заголовок,Die Mission unseres Unternehmens
181,aboutGoalsText.goal1.title,Заголовок №1,Um den Status des Maklers № 1 in Eurasien zu erhalten.
182,aboutGoalsText.goal1.text|dot,Описание заголовка №1,"Einen solchen Status zu erreichen ist möglich, indem man die Anzahl der aktiven Clients kontinuierlich erhöht."
183,aboutGoalsText.goal2.title,Заголовок №2,Um die günstigsten Handelsbedingungen zu erhalten
184,aboutGoalsText.goal2.text|dot,Описание заголовка №2,"Die Anzahl der aktiven Händler ständig zu erhöhen, ist nur unter den sich verbessernden Bedingungen des Services möglich."
4.4. Больше возможностей для трейдинга,,,
185,aboutQualityText.title,Заголовок №1,Beeilen Sie sich und verdienen Sie Geld auf hochliquiden Finanzmärkten!
186,aboutQualityText.text,Описание заголовка №1,"In den letzten 2 Jahren ist die Gesamtkapitalisierung der Finanzmärkte um mehr als 50% gestiegen. Dies bietet große Chancen für den Handel, da Investoren immer mehr in Wachstumsmärkte investieren. Seien Sie der Kurve voraus!"
4.5. Наша история,,,
187,aboutHistoryText.h2,Общий заголовок,Erfahren Sie mehr über die Geschichte unseres Unternehmens
188,aboutHistoryText.year1.title,2017 год. Заголовок,Der Beginn der Reise
189,aboutHistoryText.year1.text|dot,2017 год. Описание,Unsere Kunden haben im ersten Jahr mehr als 40.000 Konten eröffnet - das Ergebnis unserer sehr kalibrierten Herangehensweise an die Qualität der Handelsdienstleistungen.
190,aboutHistoryText.year2.title,2018 год. Заголовок,Skalierung
191,aboutHistoryText.year2.text|dot,2018 год. Описание,Das zweite Jahr der Firmentätigkeit war durch die Eröffnung mehrerer Repräsentanzen sowie die Unterzeichnung von Partnerschaftsverträgen gekennzeichnet.
192,aboutHistoryText.year3.title,2019 год. Заголовок,Internationale Siege
193,aboutHistoryText.year3.text|dot,2019 год. Описание,Unsere Maklerfirma erzielte mehrere wichtige Siege auf der Weltbühne. Ein bedeutendes Ereignis war auch die Eröffnung des 300.000sten Kundenkontos.
194,aboutHistoryText.year4.title,2020 год. Заголовок,Neue IT-Lösungen
195,aboutHistoryText.year4.text|dot,2020 год. Описание,"Um führend zu bleiben, musste unser Team innovative technologische Lösungen entwickeln."
4.6. Платформа для торговли разработанная для людей.,,,
196,aboutPlatformText.title,Заголовок,Handelsplattform für den Zugang zum Online-Handel von überall auf der Welt
197,aboutPlatformText.text|dot,Подзаголовок,"Die Handelsplattform unseres Maklerunternehmens vereint alle Werkzeuge für einen effizienten Handel. Es ist schnell, übersichtlich und funktional.  "
198,aboutPlatformText.advantage1,Преимущества №1,Integrierte Werkzeuge für technische und grafische Analysen.
199,aboutPlatformText.advantage2,Преимущества №2,Keine Requotes und Schlupf
200,aboutPlatformText.advantage3,Преимущества №3,24/7 Handel
201,aboutPlatformText.advantage4,Преимущества №4,Blitzschnelle Ausführung von Aufträgen
202,aboutPlatformText.advantage5,Преимущества №5,Schutz von personenbezogenen Daten
203,aboutPlatformText.advantage6,Преимущества №6,Einfache und intuitive Benutzeroberfläche
204,aboutPlatformText.advantage7,Преимущества №7,Große Hebelwirkung Übersetzt mit
5. Аккредитации и лицензии.,,,
5.1. Посадочный экран,,,
205,licensesHeaderText.title,Заголовок,Regulierung und Brokerage-Akkreditierung
206,licensesHeaderText.text,Подзаголовок к заголовку,Unser Brokerage-Unternehmen ist von seriösen Aufsichtsbehörden und unabhängigen Finanzkommissionen zertifiziert. Erfahren Sie mehr über Partner und Regulatoren auf dieser Seite.
5.2. Информация о регуляторах и банках,,,
207,licensesListText.license1.title,Заголовок №1,FSA
